proteins	genes	gene_name	kcat	rxns	notes	stoicho
P35557	ENSG00000106633	GCK	16.4621	MAR04394	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=465; source=DLKcat	1
Q2TB90	ENSG00000156510	HKDC1	8.9939	MAR04394	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=917; source=DLKcat	1
P19367	ENSG00000156515	HK1	5.7315	MAR04394	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=917; source=DLKcat	1
P52789	ENSG00000159399	HK2	5.2935	MAR04394	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=917; source=DLKcat	1
P52790	ENSG00000160883	HK3	2.1311	MAR04394	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=923; source=DLKcat	1
P36871	ENSG00000079739	PGM1	7.7282	MAR04396	substrate=glucose-1-phosphate; SMILES=C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O; seq_len=562; source=DLKcat	1
Q96G03	ENSG00000169299	PGM2	5.4542	MAR04396	substrate=glucose-1-phosphate; SMILES=C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O; seq_len=612; source=DLKcat	1
P35575	ENSG00000131482	G6PC1	23.7417	MAR04521	substrate=glucose-6-phosphate; SMILES=C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O; seq_len=357; source=DLKcat	1
Q9BUM1	ENSG00000141349	G6PC3	3.8294	MAR04521	substrate=glucose-6-phosphate; SMILES=C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O; seq_len=346; source=DLKcat	1
Q9NQR9	ENSG00000152254	G6PC2	1.6690	MAR04521	substrate=glucose-6-phosphate; SMILES=C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O; seq_len=355; source=DLKcat	1
O00330	ENSG00000110435	PDHX	23.3935	MAR06412	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=501; source=DLKcat	1
P10515	ENSG00000150768	DLAT	0.9691	MAR06412	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=647; source=DLKcat	1
O00330	ENSG00000110435	PDHX	22.6540	MAR06412	substrate=S-acetyldihydrolipoamide; SMILES=CC(=O)SC(CCCCC(=O)N)CCS; seq_len=501; source=DLKcat	1
P10515	ENSG00000150768	DLAT	2.6184	MAR06412	substrate=S-acetyldihydrolipoamide; SMILES=CC(=O)SC(CCCCC(=O)N)CCS; seq_len=647; source=DLKcat	1
Q9BRR6	ENSG00000159322	ADPGK	8.3550	MAR07747	substrate=ADP; SMILES=C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N; seq_len=497; source=DLKcat	1
Q9BRR6	ENSG00000159322	ADPGK	6.4056	MAR07747	substrate=glucose; SMILES=C(C1C(C(C(C(O1)O)O)O)O)O; seq_len=497; source=DLKcat	1
P04040	ENSG00000121691	CAT	26102.3861	MAR08360	substrate=ethanol; SMILES=CCO; seq_len=527; source=DLKcat	1
P05181	ENSG00000130649	CYP2E1	11.4169	MAR08757	substrate=ethanol; SMILES=CCO; seq_len=493; source=DLKcat	1
P20807	ENSG00000092529	CAPN3	9.4839	MAR03989	substrate=maltose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O; seq_len=821; source=DLKcat	1
P10253	ENSG00000171298	GAA	10.3302	MAR03989	substrate=maltose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O; seq_len=952; source=DLKcat	1
Q8TET4	ENSG00000214013	GANC	7.4872	MAR03989	substrate=maltose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O; seq_len=914; source=DLKcat	1
O43451	ENSG00000257335	MGAM	4.9329	MAR03989	substrate=maltose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O; seq_len=2753; source=DLKcat	1
O60701	ENSG00000109814	UGDH	74.8166	MAR04122	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=494; source=DLKcat	1
O43280	ENSG00000118094	TREH	45.1396	MAR04837	substrate=trehalose; SMILES=C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O; seq_len=583; source=DLKcat	1
Q32M88	ENSG00000142102	PGGHG	3.7790	MAR04837	substrate=trehalose; SMILES=C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O; seq_len=737; source=DLKcat	1
O15488	ENSG00000056998	GYG2	17.0248	MAR05395	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=501; source=DLKcat	1
P46976	ENSG00000163754	GYG1	0.0253	MAR05395	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=350; source=DLKcat	1
O15488	ENSG00000056998	GYG2	17.0248	MAR05396	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=501; source=DLKcat	1
P13807	ENSG00000104812	GYS1	30.2168	MAR05396	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=737; source=DLKcat	1
P54840	ENSG00000111713	GYS2	1.7589	MAR05396	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=703; source=DLKcat	1
P46976	ENSG00000163754	GYG1	0.0253	MAR05396	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=350; source=DLKcat	1
P13807	ENSG00000104812	GYS1	30.2168	MAR09727	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=737; source=DLKcat	1
P54840	ENSG00000111713	GYS2	1.7589	MAR09727	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=703; source=DLKcat	1
Q9UQK1	ENSG00000119938	PPP1R3C	28.8874	MAR09727	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=317; source=DLKcat	1
Q86XI6	ENSG00000173281	PPP1R3B	2.6095	MAR09727	substrate=UDP-glucose; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O; seq_len=285; source=DLKcat	1
Q6UWQ5	ENSG00000120563	LYZL1	8.6539	MAR08568	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=148; source=DLKcat	1
P0DUB6	ENSG00000237763	AMY1A	5.0223	MAR08568	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
P19961	ENSG00000240038	AMY2B	5.3747	MAR08568	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
P04746	ENSG00000243480	AMY2A	5.6413	MAR08568	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
Q6UWQ5	ENSG00000120563	LYZL1	8.6539	MAR08569	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=148; source=DLKcat	1
P0DUB6	ENSG00000237763	AMY1A	5.0223	MAR08569	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
P19961	ENSG00000240038	AMY2B	5.3747	MAR08569	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
P04746	ENSG00000243480	AMY2A	5.6413	MAR08569	substrate=maltodecaose; SMILES=C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O; seq_len=511; source=DLKcat	1
Q6UWQ5	ENSG00000120563	LYZL1	6.2266	MAR08570	substrate=maltononaose; SMILES=C(C1C(C(C(C(O1)OCC(C(C(C(C=O)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O; seq_len=148; source=DLKcat	1
P0DUB6	ENSG00000237763	AMY1A	4.0635	MAR08570	substrate=maltononaose; SMILES=C(C1C(C(C(C(O1)OCC(C(C(C(C=O)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O; seq_len=511; source=DLKcat	1
